item,calories,protein,fat,carbs
Chicken BLT Salad Sandwich,470.0,21.0,25.0,35.0
Egg Salad Sandwich,480.0,16.0,27.0,42.0
Homestyle Chicken & Double-Smoked Bacon,480.0,23.0,17.0,57.0
Italian-Style Ham & Spicy Salami,480.0,22.0,20.0,49.0
Lentils & Vegetable Protein Bowl with Brown Rice,650.0,23.0,29.0,80.0
Roasted Tomato & Mozzarella Panini,420.0,11.0,18.0,47.0
Turkey & Havarti Sandwich,460.0,29.0,21.0,31.0
Turkey Pesto Panini,560.0,34.0,23.0,55.0
Berry Trio Yogurt,240.0,14.0,2.5,39.0
Fresh Blueberries and Honey Greek Yogurt Parfait,240.0,14.0,2.5,42.0
Justin's Chocolate Hazelnut Butter,180.0,4.0,14.0,12.0
Justin's Classic Almond Butter,190.0,7.0,18.0,6.0
Lemon Chiffon Yogurt,340.0,18.0,13.0,38.0
Organic Avocado (Spread),90.0,1.0,8.0,5.0
Seasonal Fruit Blend,90.0,1.0,0.0,24.0
